173	1331	1329	34.4	7.57	14.95	.506	0.02	0.12	.181	4.36	6.26	.696	17.24	2.81	8.19	11.00	3.05	0.73	2.21	2.39	2.47	19.51	1
175	644	427	25.3	2.41	5.41	.445	0.15	0.46	.318	0.85	1.11	.765	4.28	0.84	2.00	2.84	1.76	0.44	0.42	2.17	0.93	5.81	9
176	1214	951	33.2	7.04	16.02	.440	1.55	4.14	.374	3.79	4.74	.799	11.41	1.26	3.50	4.75	3.56	1.09	0.62	2.80	1.97	19.42	1
177	717	445	26.8	3.99	9.14	.437	0.81	2.50	.323	3.26	4.09	.798	8.33	0.33	1.97	2.30	4.66	1.13	0.20	2.31	1.99	12.06	1
178	317	25	17.8	2.35	5.79	.406	1.03	2.74	.375	1.38	1.77	.784	3.78	0.40	2.24	2.64	0.89	0.43	0.26	2.20	0.88	7.10	6
179	1008	791	30.9	4.80	10.34	.465	0.90	2.38	.380	3.39	4.40	.771	8.43	0.87	3.47	4.34	2.24	0.72	0.32	2.33	1.65	13.90	1
180	419	373	25.2	4.11	8.34	.494	0.00	0.03	.143	1.81	2.48	.730	6.59	1.84	3.55	5.40	0.83	0.39	0.68	2.99	1.19	10.05	7
181	575	463	31.6	5.91	13.32	.443	1.04	2.88	.361	3.16	3.79	.834	9.38	1.95	4.85	6.80	1.57	0.82	0.51	3.02	2.19	16.01	1
182	547	98	19.8	3.13	6.62	.473	0.00	0.05	.074	2.11	3.02	.699	6.06	1.62	3.02	4.63	0.50	0.65	1.25	2.48	1.26	8.38	9
183	840	337	23.7	3.17	7.75	.409	1.10	3.29	.334	1.74	2.00	.871	7.67	0.78	1.92	2.70	4.04	1.35	0.12	1.66	1.85	9.18	1
184	601	93	14.0	0.84	1.96	.427	0.00	0.01	.167	0.30	0.63	.467	3.65	1.39	2.30	3.69	0.45	0.38	1.05	2.03	0.59	1.97	1
185	830	494	26.1	3.53	8.20	.431	0.70	2.02	.349	1.55	1.80	.862	7.26	0.44	1.82	2.26	4.47	0.98	0.19	2.14	1.62	9.33	1
186	473	139	15.4	2.06	4.47	.462	0.00	0.03	.154	0.52	0.77	.678	3.58	1.13	2.75	3.88	0.48	0.41	0.49	2.45	0.79	4.66	8
